Country,Year,Value
Japan,2015,127.25
Japan,2021,124.61
Japan,2022,123.95
Jordan,2010,6.93
Jordan,2015,9.49
Jordan,2021,11.15
Jordan,2022,11.29
Kazakhstan,2010,16.63
Kazakhstan,2015,17.84
Kazakhstan,2021,19.20
Kazakhstan,2022,19.40
Kenya,2010,41.52
Kenya,2015,46.85
Kenya,2021,53.01
Kenya,2022,54.03
Kiribati,2010,0.11
Kiribati,2015,0.12
Kiribati,2021,0.13
Kiribati,2022,0.13
Kuwait,2010,2.94
Kuwait,2015,3.91
Kuwait,2021,4.25
Kuwait,2022,4.27
Kyrgyzstan,2010,5.48
Kyrgyzstan,2015,5.92
Kyrgyzstan,2021,6.53
Kyrgyzstan,2022,6.63
Lao People's Dem. Rep.,2010,6.32
Lao People's Dem. Rep.,2015,6.79
Lao People's Dem. Rep.,2021,7.43
Lao People's Dem. Rep.,2022,7.53
Latvia,2010,2.10
Latvia,2015,1.99
Latvia,2021,1.87
Latvia,2022,1.85
Lebanon,2010,5.00
Lebanon,2015,6.40
Lebanon,2021,5.59
Lebanon,2022,5.49
Lesotho,2010,2.02
Lesotho,2015,2.12
Lesotho,2021,2.28
Lesotho,2022,2.31
Liberia,2010,4.02
Liberia,2015,4.61
Liberia,2021,5.19
Liberia,2022,5.30
Libya,2010,6.49
Libya,2015,6.19
Libya,2021,6.74
Libya,2022,6.81
Liechtenstein,2010,0.04
Liechtenstein,2015,0.04
Liechtenstein,2021,0.04
Liechtenstein,2022,0.04
Lithuania,2010,3.14
Lithuania,2015,2.96
Lithuania,2021,2.79
Lithuania,2022,2.75
Luxembourg,2010,0.51
Luxembourg,2015,0.57
Luxembourg,2021,0.64
Luxembourg,2022,0.65
Madagascar,2010,21.73
Madagascar,2015,24.85
Madagascar,2021,28.92
Madagascar,2022,29.61
Malawi,2010,14.72
Malawi,2015,16.94
Malawi,2021,19.89
Malawi,2022,20.41
Malaysia,2010,28.72
Malaysia,2015,31.07
Malaysia,2021,33.57
Malaysia,2022,33.94
Maldives,2010,0.36
Maldives,2015,0.44
Maldives,2021,0.52
Maldives,2022,0.52
Mali,2010,15.53
Mali,2015,18.11
Mali,2021,21.91
Mali,2022,22.59
Malta,2010,0.42
Malta,2015,0.46
Malta,2021,0.53
Malta,2022,0.53
Marshall Islands,2010,0.05
Marshall Islands,2015,0.05
Marshall Islands,2021,0.04
Marshall Islands,2022,0.04
Martinique,2010,0.39
Martinique,2015,0.38
Martinique,2021,0.37
Martinique,2022,0.37
Mauritania,2010,3.42
Mauritania,2015,3.95
Mauritania,2021,4.62
Mauritania,2022,4.74
Mauritius,2010,1.28
Mauritius,2015,1.29
Mauritius,2021,1.30
Mauritius,2022,1.30
Mayotte,2010,0.21
Mayotte,2015,0.25
Mayotte,2022,0.33
Mexico,2010,112.53
Mexico,2015,120.15
Mexico,2021,126.71
Mexico,2022,127.50
Micronesia (Fed. States of),2010,0.11
Micronesia (Fed. States of),2015,0.11
Micronesia (Fed. States of),2021,0.11
Micronesia (Fed. States of),2022,0.11
Monaco,2010,0.03
Monaco,2015,0.04
Monaco,2021,0.04
Monaco,2022,0.04
Mongolia,2010,2.70
Mongolia,2015,2.96
Mongolia,2021,3.35
Mongolia,2022,3.40
Montenegro,2010,0.63
Montenegro,2015,0.63
Montenegro,2021,0.63
Montenegro,2022,0.63
Montserrat,2010,0.00
Montserrat,2015,0.01
Montserrat,2021,0.00
Montserrat,2022,0.00
Morocco,2010,32.46
Morocco,2015,34.68
Morocco,2021,37.08
Morocco,2022,37.46
Mozambique,2010,23.07
Mozambique,2015,26.84
Mozambique,2021,32.08
Mozambique,2022,32.97
Myanmar,2010,49.39
Myanmar,2015,51.48
Myanmar,2021,53.80
Myanmar,2022,54.18
Namibia,2010,2.10
Namibia,2015,2.28
Namibia,2021,2.53
Namibia,2022,2.57
Nauru,2010,0.01
Nauru,2015,0.01
Nauru,2021,0.01
Nauru,2022,0.01
Nepal,2010,27.16
Nepal,2015,27.61
Nepal,2021,30.04
Nepal,2022,30.55
Netherlands (Kingdom of the),2010,16.62
Netherlands (Kingdom of the),2015,17.04
Netherlands (Kingdom of the),2021,17.50
Netherlands (Kingdom of the),2022,17.56
New Caledonia,2010,0.26
New Caledonia,2015,0.28
New Caledonia,2021,0.29
New Caledonia,2022,0.29
New Zealand,2010,4.35
New Zealand,2015,4.59
New Zealand,2021,5.13
New Zealand,2022,5.19
Nicaragua,2010,5.86
Nicaragua,2015,6.30
Nicaragua,2021,6.85
Nicaragua,2022,6.95
Niger,2010,16.65
Niger,2015,20.13
Niger,2021,25.25
Niger,2022,26.21
Nigeria,2010,160.95
Nigeria,2015,184.00
Nigeria,2021,213.40
Nigeria,2022,218.54
Niue,2010,0.00
Niue,2015,0.00
Niue,2021,0.00
Niue,2022,0.00
North Macedonia,2010,2.09
North Macedonia,2015,2.11
North Macedonia,2021,2.10
North Macedonia,2022,2.09
Northern Mariana Islands,2010,0.05
Northern Mariana Islands,2015,0.05
Northern Mariana Islands,2021,0.05
Northern Mariana Islands,2022,0.05
Norway,2010,4.89
Norway,2015,5.19
Norway,2021,5.40
Norway,2022,5.43
Oman,2010,2.88
Oman,2015,4.19
Oman,2021,4.52
Oman,2022,4.58
Other non-specified areas,2010,23.08
Other non-specified areas,2015,23.51
Other non-specified areas,2022,23.89
Pakistan,2010,194.45
Pakistan,2015,210.97
Pakistan,2021,231.40
Pakistan,2022,235.82
Palau,2010,0.02
Palau,2015,0.02
Palau,2021,0.02
Palau,2022,0.02
Panama,2010,3.62
Panama,2015,3.96
Panama,2021,4.35
Panama,2022,4.41
Papua New Guinea,2010,7.58
Papua New Guinea,2015,8.68
Papua New Guinea,2021,9.95
Papua New Guinea,2022,10.14
Paraguay,2010,5.77
Paraguay,2015,6.18
Paraguay,2021,6.70
Paraguay,2022,6.78
Peru,2010,29.23
Peru,2015,30.71
Peru,2021,33.72
Peru,2022,34.05
Philippines,2010,94.64
Philippines,2015,103.03
Philippines,2021,113.88
Philippines,2022,115.56
Poland,2010,38.60
Poland,2015,38.55
Poland,2021,38.31
Poland,2022,39.86
Portugal,2010,10.59
Portugal,2015,10.37
Portugal,2021,10.29
Portugal,2022,10.27
Puerto Rico,2010,3.72
Puerto Rico,2015,3.50
Puerto Rico,2021,3.26
Puerto Rico,2022,3.25
Qatar,2010,1.71
Qatar,2015,2.41
Qatar,2021,2.69
Qatar,2022,2.70
Republic of Korea,2010,48.81
Republic of Korea,2015,50.99
Republic of Korea,2021,51.83
Republic of Korea,2022,51.82
Republic of Moldova,2010,3.68
Republic of Moldova,2015,3.28
Republic of Moldova,2021,3.06
Republic of Moldova,2022,3.27
Réunion,2010,0.89
Réunion,2015,0.92
Réunion,2021,0.97
Réunion,2022,0.97
Romania,2010,20.34
Romania,2015,19.91
Romania,2021,19.33
Romania,2022,19.66
Russian Federation,2010,143.24
Russian Federation,2015,144.67
Russian Federation,2021,145.10
Russian Federation,2022,144.71
Rwanda,2010,10.31
Rwanda,2015,11.64
Rwanda,2021,13.46
Rwanda,2022,13.78
Saint Barthélemy,2010,0.01
Saint Barthélemy,2015,0.01
Saint Barthélemy,2022,0.01
Saint Helena,2010,0.01
Saint Helena,2015,0.01
Saint Helena,2021,0.01
Saint Helena,2022,0.01
Saint Kitts and Nevis,2010,0.05
Saint Kitts and Nevis,2015,0.05
Saint Kitts and Nevis,2021,0.05
Saint Kitts and Nevis,2022,0.05
Saint Lucia,2010,0.17
Saint Lucia,2015,0.18
Saint Lucia,2021,0.18
Saint Lucia,2022,0.18
Saint Martin (French part),2010,0.04
Saint Martin (French part),2015,0.04
Saint Martin (French part),2022,0.03
Saint Pierre and Miquelon,2010,0.01
Saint Pierre and Miquelon,2015,0.01
Saint Pierre and Miquelon,2021,0.01
Saint Pierre and Miquelon,2022,0.01
Saint Vincent & Grenadines,2010,0.11
Saint Vincent & Grenadines,2015,0.11
Saint Vincent & Grenadines,2021,0.10
Saint Vincent & Grenadines,2022,0.10
Samoa,2010,0.19
Samoa,2015,0.20
Samoa,2021,0.22
Samoa,2022,0.22
San Marino,2010,0.03
San Marino,2015,0.03
San Marino,2021,0.03
San Marino,2022,0.03
Sao Tome and Principe,2010,0.18
Sao Tome and Principe,2015,0.20
Sao Tome and Principe,2021,0.22
Sao Tome and Principe,2022,0.23
Saudi Arabia,2010,29.41
Saudi Arabia,2015,32.75
Saudi Arabia,2021,35.95
Saudi Arabia,2022,36.41
Senegal,2010,12.53
Senegal,2015,14.36
Senegal,2021,16.88
Senegal,2022,17.32
Serbia,2010,7.65
Serbia,2015,7.52
Serbia,2021,7.30
Serbia,2022,7.22
Seychelles,2010,0.09
Seychelles,2015,0.10
Seychelles,2021,0.11
Seychelles,2022,0.11
Sierra Leone,2010,6.44
Sierra Leone,2015,7.31
Sierra Leone,2021,8.42
Sierra Leone,2022,8.61
Singapore,2010,5.16
Singapore,2015,5.65
Singapore,2021,5.94
Singapore,2022,5.98
Sint Maarten (Dutch part),2010,0.03
Sint Maarten (Dutch part),2015,0.04
Sint Maarten (Dutch part),2021,0.04
Sint Maarten (Dutch part),2022,0.04
Slovakia,2010,5.40
Slovakia,2015,5.42
Slovakia,2021,5.45
Slovakia,2022,5.64
Slovenia,2010,2.06
Slovenia,2015,2.08
Slovenia,2021,2.12
Slovenia,2022,2.12
Solomon Islands,2010,0.54
Solomon Islands,2015,0.61
Solomon Islands,2021,0.71
Solomon Islands,2022,0.72
Somalia,2010,12.03
Somalia,2015,13.76
Somalia,2021,17.07
Somalia,2022,17.60
South Africa,2010,51.78
South Africa,2015,55.88
South Africa,2021,59.39
South Africa,2022,59.89
South Sudan,2010,9.71
South Sudan,2015,11.19
South Sudan,2022,10.91
Spain,2010,46.57
Spain,2015,46.43
Spain,2021,47.49
Spain,2022,47.56
Sri Lanka,2010,20.67
Sri Lanka,2015,21.34
Sri Lanka,2021,21.77
Sri Lanka,2022,21.83
State of Palestine,2010,3.99
State of Palestine,2015,4.48
State of Palestine,2021,5.13
State of Palestine,2022,5.25
Sudan,2010,33.74
Sudan,2015,38.17
Sudan,2022,46.87
Suriname,2010,0.55
Suriname,2015,0.58
Suriname,2021,0.61
Suriname,2022,0.62
Sweden,2010,9.38
Sweden,2015,9.85
Sweden,2021,10.47
Sweden,2022,10.55
Switzerland,2010,7.82
Switzerland,2015,8.28
Switzerland,2021,8.69
Switzerland,2022,8.74
Syrian Arab Republic,2010,22.34
Syrian Arab Republic,2015,19.21
Syrian Arab Republic,2021,21.32
Syrian Arab Republic,2022,22.13
Tajikistan,2010,7.62
Tajikistan,2015,8.52
Tajikistan,2021,9.75
Tajikistan,2022,9.95
Thailand,2010,68.27
Thailand,2015,70.29
Thailand,2021,71.60
Thailand,2022,71.70
Timor-Leste,2010,1.09
Timor-Leste,2015,1.21
Timor-Leste,2021,1.32
Timor-Leste,2022,1.34
Togo,2010,6.57
Togo,2015,7.47
Togo,2021,8.64
Togo,2022,8.85
Tokelau,2010,0.00
Tokelau,2015,0.00
Tokelau,2021,0.00
Tokelau,2022,0.00
Tonga,2010,0.11
Tonga,2015,0.11
Tonga,2021,0.11
Tonga,2022,0.11
Trinidad and Tobago,2010,1.41
Trinidad and Tobago,2015,1.46
Trinidad and Tobago,2021,1.53
Trinidad and Tobago,2022,1.53
Tunisia,2010,10.90
Tunisia,2015,11.56
Tunisia,2021,12.26
Tunisia,2022,12.36
Türkiye,2010,73.20
Türkiye,2015,79.65
Türkiye,2021,84.78
Türkiye,2022,85.34
Turkmenistan,2010,5.27
Turkmenistan,2015,5.77
Turkmenistan,2021,6.34
Turkmenistan,2022,6.43
Turks and Caicos Islands,2010,0.03
Turks and Caicos Islands,2015,0.04
Turks and Caicos Islands,2021,0.05
Turks and Caicos Islands,2022,0.05
Tuvalu,2010,0.01
Tuvalu,2015,0.01
Tuvalu,2021,0.01
Tuvalu,2022,0.01
Uganda,2010,32.34
Uganda,2015,37.48
Uganda,2021,45.85
Uganda,2022,47.25
Ukraine,2010,45.68
Ukraine,2015,44.98
Ukraine,2021,43.53
Ukraine,2022,39.70
United Arab Emirates,2010,8.48
United Arab Emirates,2015,8.92
United Arab Emirates,2021,9.37
United Arab Emirates,2022,9.44
United Kingdom,2010,62.76
United Kingdom,2015,65.22
United Kingdom,2021,67.28
United Kingdom,2022,67.51
United Rep. of Tanzania,2010,45.11
United Rep. of Tanzania,2015,52.54
United Rep. of Tanzania,2021,63.59
United Rep. of Tanzania,2022,65.50
United States of America,2010,311.18
United States of America,2015,324.61
United States of America,2021,337.00
United States of America,2022,338.29
United States Virgin Islands,2010,0.11
United States Virgin Islands,2015,0.10
United States Virgin Islands,2021,0.10
United States Virgin Islands,2022,0.10
Uruguay,2010,3.35
Uruguay,2015,3.40
Uruguay,2021,3.43
Uruguay,2022,3.42
Uzbekistan,2010,28.61
Uzbekistan,2015,30.95
Uzbekistan,2021,34.08
Uzbekistan,2022,34.63
Vanuatu,2010,0.25
Vanuatu,2015,0.28
Vanuatu,2021,0.32
Vanuatu,2022,0.33
Venezuela (Boliv. Rep. of),2010,28.72
Venezuela (Boliv. Rep. of),2015,30.53
Venezuela (Boliv. Rep. of),2021,28.20
Venezuela (Boliv. Rep. of),2022,28.30
Viet Nam,2010,87.41
Viet Nam,2015,92.19
Viet Nam,2021,97.47
Viet Nam,2022,98.19
Wallis and Futuna Islands,2010,0.01
Wallis and Futuna Islands,2015,0.01
